Wall time,Step,Value
1735163624.0117362,0,0.7901542782783508
1735163664.3298965,1,0.8482304811477661
1735163701.8415818,2,0.8795372247695923
1735163739.40438,3,0.8781760334968567
1735163777.505919,4,0.9049455523490906
1735163815.8144386,5,0.9010889530181885
1735163853.2733343,6,0.9176497459411621
1735163889.8335109,7,0.9278584122657776
1735163928.429934,8,0.9351179599761963
1735163967.1778402,9,0.9448729753494263
1735164005.2150288,10,0.9469146728515625
1735164042.6340187,11,0.940335750579834
1735164080.087091,12,0.9555354118347168
1735164117.2669976,13,0.9598457217216492
1735164155.1132743,14,0.9614337682723999
1735164192.9401119,15,0.9607532024383545
1735164230.5300167,16,0.9661978483200073
1735164268.4108725,17,0.9641560912132263
1735164306.140285,18,0.9736841917037964
1735164344.311213,19,0.9630217552185059
1735164381.2190652,20,0.9782214164733887
1735164418.26494,21,0.9795825481414795
1735164456.2249541,22,0.9807168841362
1735164493.6290324,23,0.9764065146446228
1735164531.0701365,24,0.9777677059173584
1735164568.7156403,25,0.9829854965209961
1735164605.8284461,26,0.978675127029419
1735164643.1026661,27,0.9820780158042908
1735164680.0147974,28,0.9820780158042908
1735164717.5562158,29,0.9768602252006531
1735164754.89626,30,0.9809437394142151
1735164791.8491926,31,0.982758641242981
1735164829.1578252,32,0.9906987547874451
1735164866.5369837,33,0.9811705946922302
1735164903.542299,34,0.9793556928634644
1735164941.169468,35,0.9872958064079285
1735164978.8980038,36,0.9857078194618225
1735165016.0660439,37,0.9813974499702454
1735165053.7163286,38,0.9861615300178528
1735165090.5228167,39,0.9913793206214905
1735165128.2076669,40,0.9877495169639587
1735165165.3883588,41,0.9838929176330566
1735165202.4908144,42,0.9893375635147095
1735165239.583232,43,0.9836660623550415
1735165276.350335,44,0.984573483467102
1735165313.081687,45,0.984573483467102
1735165350.2536454,46,0.992286741733551
1735165387.1979694,47,0.9832123517990112
1735165425.0855699,48,0.9861615300178528
1735165462.571417,49,0.9879764318466187
1735165499.3908217,50,0.9913793206214905
1735165536.6919963,51,0.9884301424026489
1735165573.578258,52,0.9848003387451172
1735165610.5321286,53,0.9866152405738831
1735165648.00604,54,0.9859346747398376
1735165684.3067205,55,0.9897912740707397
1735165721.1292238,56,0.9877495169639587
1735165757.7135742,57,0.9897912740707397
1735165794.5995817,58,0.9900181293487549
1735165831.4852026,59,0.9920598864555359
1735165868.0205739,60,0.9897912740707397
1735165905.1101007,61,0.9893375635147095
1735165942.029653,62,0.9925135970115662
1735165978.6888163,63,0.9882032871246338
1735166016.0077655,64,0.9886569976806641
1735166052.5296838,65,0.9882032871246338
1735166089.5839453,66,0.9938747882843018
1735166126.9649904,67,0.9888838529586792
1735166163.6811528,68,0.9877495169639587
1735166200.9942262,69,0.9895644187927246
1735166238.0872984,70,0.9916061758995056
1735166275.1877253,71,0.9868420958518982
1735166312.5969903,72,0.9891107082366943
1735166349.253782,73,0.9909256100654602
1735166386.1853552,74,0.9920598864555359
1735166422.9549267,75,0.9882032871246338
1735166460.1558836,76,0.9950090646743774
1735166497.5247667,77,0.9927404522895813
1735166534.366457,78,0.9941016435623169
1735166571.7903457,79,0.9888838529586792
1735166608.7006712,80,0.9886569976806641
1735166645.4676867,81,0.992286741733551
1735166682.406154,82,0.9929673075675964
1735166719.5472853,83,0.9900181293487549
1735166756.9682167,84,0.9909256100654602
1735166794.4604387,85,0.9882032871246338
1735166831.413932,86,0.9950090646743774
1735166868.884848,87,0.995916485786438
1735166906.290994,88,0.9920598864555359
1735166944.1174662,89,0.9929673075675964
1735166981.6159482,90,0.9936479330062866
1735167019.1559637,91,0.9918330311775208
1735167056.4419317,92,0.9920598864555359
1735167094.0206118,93,0.9952359199523926
1735167130.948732,94,0.9861615300178528
1735167168.2174911,95,0.994328498840332
1735167204.6896012,96,0.9916061758995056
1735167241.7535162,97,0.9961434006690979
1735167278.727159,98,0.9950090646743774
1735167315.9377677,99,0.9906987547874451
1735211560.3682463,100,0.9952359199523926
1735211601.91311,101,0.9941016435623169
1735211639.64778,102,0.994328498840332
1735211678.6092246,103,0.9954627752304077
1735211716.6988144,104,0.9931941628456116
1735211753.595827,105,0.9956896305084229
